Bug ID	Title	Link to Bug	File	Link to diff	Old Code (maybe)	New Code (maybe)
b1191442	Add New Container to File menu	https://bugzilla.mozilla.org/show_bug.cgi?id=1191442	"
a/browser/base/content/tabbrowser.xml
a/browser/base/content/utilityOverlay.js"
b1191451	Add tab decoration signifying userContextId	https://bugzilla.mozilla.org/show_bug.cgi?id=1191451	"
a/browser/base/content/tabbrowser.xml
a/browser/themes/shared/tabs.inc.css"
b1191455	Add URL bar decoration signifying userContextId	https://bugzilla.mozilla.org/show_bug.cgi?id=1191455	"
a/browser/base/content/browser.js
a/browser/base/content/browser.xul
a/browser/base/content/tabbrowser.xml
a/browser/locales/en-US/chrome/browser/browser.properties
a/browser/themes/shared/usercontext/usercontext.inc.css"
b782654	Implement Mixed Content Blocker New Icon - Backend Changes	https://bugzilla.mozilla.org/show_bug.cgi?id=782654	"
a/content/base/src/nsMixedContentBlocker.cpp"
b822366	Implement Mixed Content Blocker New Icon - Frontend Changes	https://bugzilla.mozilla.org/show_bug.cgi?id=822366	"
a/browser/base/content/browser.js
a/browser/themes/gnomestripe/browser.css
a/browser/themes/gnomestripe/jar.mn
a/browser/themes/pinstripe/browser.css
a/browser/themes/pinstripe/jar.mn
a/browser/themes/winstripe/browser.css
a/browser/themes/winstripe/jar.mn"
b822371	Implement Mixed Content Blocker Doorhanger - Frontend Changes	https://bugzilla.mozilla.org/show_bug.cgi?id=822371	"
a/browser/app/profile/firefox.js
a/browser/base/content/browser.js
a/browser/base/content/browser.xul
a/browser/locales/en-US/chrome/browser/browser.dtd
a/browser/locales/en-US/chrome/browser/browser.properties
a/browser/themes/gnomestripe/browser.css
a/browser/themes/gnomestripe/jar.mn
a/browser/themes/pinstripe/browser.css
a/browser/themes/pinstripe/jar.mn
a/browser/themes/winstripe/browser.css
a/browser/themes/winstripe/jar.mn"
b1182551	don't show the mixed display content indicator if the top level load is http://	https://bugzilla.mozilla.org/show_bug.cgi?id=1182551	"
a/security/manager/ssl/nsSecureBrowserUIImpl.cpp"
b1235667	PermissionsUtils.jsm needs to stop using createCodebasePrincipalFromOrigin	https://bugzilla.mozilla.org/show_bug.cgi?id=1235667	"
a/toolkit/modules/PermissionsUtils.jsm"
b623155	address bar does not contain the correct URL when loading a redirect to an SSL error page in a new tab	https://bugzilla.mozilla.org/show_bug.cgi?id=623155	"
a/suite/browser/tabbrowser.xml"
b834830	Strike through https in location bar for sites that have mixed active content loaded.	https://bugzilla.mozilla.org/show_bug.cgi?id=834830	"
a/dom/base/nsISelectionController.idl
a/layout/generic/nsFrame.cpp
a/layout/generic/nsSelection.cpp
a/layout/generic/nsTextFrame.cpp"
